num,id,concept_en,category,concept,property
1,s1,broom,implement,Besen,damit kehren
2,s1,broom,implement,Besen,hat Bürste
3,s1,broom,implement,Besen,hat Stiel
4,s1,broom,implement,Besen,um Schmutz vom Boden zu entfernen
5,s1,armchair,furniture,Sessel,sitzen
6,s1,armchair,furniture,Sessel,im Wohnzimmer
7,s1,armchair,furniture,Sessel,ist gepolstert
8,s1,armchair,furniture,Sessel,hat Armlehnen
9,s1,rabbit,mammal,Hase,kommt zu Ostern
10,s1,rabbit,mammal,Hase,isst Karotten
11,s1,rabbit,mammal,Hase,isst Salat
12,s1,rabbit,mammal,Hase,hat ein Fell
13,s1,rabbit,mammal,Hase,hat grosse Ohren
14,s1,chair,furniture,Stuhl,sitzen
15,s1,chair,furniture,Stuhl,am Tisch
16,s1,chair,furniture,Stuhl,4 Beine
17,s1,chair,furniture,Stuhl,aus Holz
18,s1,chemise,clothing,Hemd,aus Leinen
19,s1,chemise,clothing,Hemd,elegant
20,s1,chemise,clothing,Hemd,tragen vor allem Männern
21,s1,chemise,clothing,Hemd,für Arbeit geeignet
22,s1,bus,vehicle,Bus,Verkehrsmittel
23,s1,bus,vehicle,Bus,weniger Umweltverschmutzung
24,s1,bus,vehicle,Bus,Fahrgemeinschaft
25,s1,bus,vehicle,Bus,viele Leute benützen es
26,s1,sword,implement,Schwert,gefährlich
27,s1,sword,implement,Schwert,Rittertum
28,s1,sword,implement,Schwert,kämpfen
29,s1,sword,implement,Schwert,scharf
30,s1,horse,mammal,Pferd,reiten
31,s1,horse,mammal,Pferd,springen
32,s1,horse,mammal,Pferd,Sattel
33,s1,horse,mammal,Pferd,Turniere
34,s1,finger,bodypart,Finger,an der Hand
35,s1,finger,bodypart,Finger,klein
36,s1,finger,bodypart,Finger,groß
37,s1,finger,bodypart,Finger,nützlich
38,s1,bear,mammal,Bär,gefährlich
39,s1,bear,mammal,Bär,Fell
40,s1,bear,mammal,Bär,groß
41,s1,bear,mammal,Bär,lebt in der Wildnis
42,s1,monkey,mammal,Affe,sehr menschenähnlich
43,s1,monkey,mammal,Affe,lebt im Dschungel
44,s1,monkey,mammal,Affe,kann sehr groß sein
45,s1,monkey,mammal,Affe,in der Gruppe
46,s1,owl,bird,Eule,nachtaktiv
47,s1,owl,bird,Eule,hat Federn
48,s1,owl,bird,Eule,ist ein Vogel
49,s1,owl,bird,Eule,hat Krallen
50,s1,church,building,Kirche,Gott
51,s1,church,building,Kirche,beten
52,s1,church,building,Kirche,Taufe
53,s1,church,building,Kirche,Hochzeit
54,s1,paintbrush,implement,Pinsel,malen
55,s1,paintbrush,implement,Pinsel,dünn
56,s1,paintbrush,implement,Pinsel,dick
57,s1,paintbrush,implement,Pinsel,haarig
58,s1,cherry,fruit,Kirsche,wächst auf Bäumen
59,s1,cherry,fruit,Kirsche,ist rot
60,s1,cherry,fruit,Kirsche,Saft
61,s1,cherry,fruit,Kirsche,essen
62,s1,cherry,fruit,Kirsche,Frucht
63,s1,sweater,clothing,Pullover,hält warm
64,s1,sweater,clothing,Pullover,sehr bequem
65,s1,sweater,clothing,Pullover,aus Wolle
66,s1,sweater,clothing,Pullover,trägt man
67,s1,sweater,clothing,Pullover,im Winter
68,s1,sweater,clothing,Pullover,wenn es kalt ist
69,s1,pear,fruit,Birne,Frucht
70,s1,pear,fruit,Birne,gelbgrün
71,s1,pear,fruit,Birne,weich
72,s1,pear,fruit,Birne,Kerne im Inneren
73,s1,tower,building,Turm,hoch
74,s1,tower,building,Turm,aus Stein
75,s1,tower,building,Turm,im Rittertum
76,s1,tower,building,Turm,sehr schmal
77,s1,dog,mammal,Hund,Haustier
78,s1,dog,mammal,Hund,Haustier
79,s1,dog,mammal,Hund,groß
80,s1,dog,mammal,Hund,klein
81,s1,dog,mammal,Hund,Fell
82,s1,dog,mammal,Hund,Schwanz
83,s1,woodpecker,bird,Specht,pecken in Baumstamm
84,s1,woodpecker,bird,Specht,Vogel
85,s1,woodpecker,bird,Specht,Baum
86,s1,woodpecker,bird,Specht,klein
87,s1,truck,vehicle,Lastwagen,groß
88,s1,truck,vehicle,Lastwagen,Transportmittel
89,s1,truck,vehicle,Lastwagen,Transportmittel
90,s1,truck,vehicle,Lastwagen,schwer
